author,price,score,title
뉴욕주민,"24,000원 ",9.7 ,뉴욕주민의 진짜 미국식 주식투자
이동훈,"16,800원 ",9.5 ,어떻게 경제적 자유를 얻을 것인가
레이철 리처즈,"17,000원 ",9.3 ,나는 짧게 일하고 길게 번다
이언 골딘,"32,000원 ",8.0 ,앞으로 100년 : 인류의 미래를 위한 100장의 지도
로버트 기요사키,"15,800원 ",7.5 ,부자 아빠 가난한 아빠 1 (20주년 특별 기념판)
앙드레 코스톨라니,"12,000원 ",9.0 ,"돈, 뜨겁게 사랑하고 차갑게 다루어라"
김난도,"18,000원 ",7.8 ,트렌드 코리아 2022
김정수,신간도서 단 1권도 무료 ,9.5 ,종목 선정 나에게 물어봐
김승호,"16,800원 ",8.6 ,돈의 속성 (150쇄 기념 에디션)
재커리 D. 카터,신간도서 단 1권도 무료 ,10.0 ,존 메이너드 케인스
배진한,"17,500원 ",10.0 ,투자를 잘한다는 것
맷 포트나우,"18,000원 ",9.2 ,NFT 사용설명서
김세희(세빛희),"17,500원 ",9.8 ,딱 2년 안에 무조건 돈 버는 부동산 투자 시크릿
성소라,"18,000원 ",9.3 ,NFT 레볼루션
송길영,"17,000원 ",8.2 ,그냥 하지 말라
전우성,"14,000원 ",9.0 ,그래서 브랜딩이 필요합니다
정지영,"19,000원 ",10.0 ,대한민국 재건축 재개발 지도
라오어,"16,000원 ",9.7 ,라오어의 미국주식 무한매수법
윤재수,무료 ,8.0 ,주식투자 무작정 따라하기
엠제이 드마코,"17,500원 ",8.1 ,부의 추월차선 (10주년 스페셜 에디션)
최동석,신간도서 단 1권도 무료 ,10.0 ,성취예측모형
코인 트레이너,신간도서 단 1권도 무료 ,10.0 ,"비트코인에 가려진 세상, 이더리움"
홍춘욱,"17,500원 ",8.0 ,돈의 흐름에 올라타라
김태훈(베니아),"18,000원 ",9.9 ,아파트 청약 이렇게 쉬웠어?
벤저민 그레이엄,무료 ,9.0 ,현명한 투자자
송희창(송사무장),무료 ,10.0 ,송사무장의 부동산 경매의 기술
정규범(경장인),신간도서 단 1권도 무료 ,10.0 ,경매하는 직장인
박희철,무료 ,9.8 ,경매 권리분석 이렇게 쉬웠어?
송희구,"15,000원 ",9.3 ,서울 자가에 대기업 다니는 김 부장 이야기 1 : 김 부장 편
송희구,"15,000원 ",9.6 ,서울 자가에 대기업 다니는 김 부장 이야기 2 : 정 대리.권 사원 편
매튜 룬,"15,000원 ",0.0 ,픽사 스토리텔링
이선미,무료 ,10.0 ,싱글맘 부동산 경매로 홀로서기
소수몽키(홍승초),신간도서 단 1권도 무료 ,9.2 ,소수몽키의 한 권으로 끝내는 미국주식
사경인,"22,000원 ",9.2 ,사경인의 친절한 투자 과외
오건영,"18,000원 ",9.4 ,부의 시나리오
삵(이석근),"19,800원 ",10.0 ,"하루 10분 미국 주식, 월급보다 더 번다"
김재수(렘군),무료 ,9.6 ,10년 동안 적금밖에 모르던 39세 김 과장은 어떻게 1년 만에 부동산 천재가 됐을까?
주식농부 박영옥,"17,000원 ",9.0 ,주식투자 절대 원칙
송희구,"15,000원 ",9.8 ,서울 자가에 대기업 다니는 김 부장 이야기 3 : 송 과장 편
오성주,"16,800원 ",6.8 ,차트의 유혹
김미경,"18,000원 ",0.0 ,세븐 테크
우석(브라운스톤),무료 ,7.0 ,부의 인문학
보도 섀퍼,무료 ,8.7 ,보도 섀퍼의 돈
강환국,"18,000원 ",8.1 ,거인의 포트폴리오
피터 린치,"26,000원 ",9.7 ,전설로 떠나는 월가의 영웅
은현장,신간도서 단 1권도 무료 ,9.9 ,나는 장사의 신이다
너나위,무료 ,9.2 ,월급쟁이 부자로 은퇴하라
송희창(송사무장),"17,000원 ",9.9 ,엑시트 EXIT (리커버)
모건 하우절,"19,800원 ",8.9 ,돈의 심리학
